Folder,Sample,Channel,Background_Value
d,UR6,R712-A,1597.350098
d,UR6,R763-H,446
d,UR6,R763-A,77.30000305
d,UR6,V450-H,1441.599976
d,UR6,V450-A,1198.5
d,UR6,V525-H,493.5
d,UR6,V525-A,349.2999878
d,UR6,V610-H,605
d,UR6,V610-A,453.3999939
d,UR6,V660-H,268.8999939
d,UR6,V660-A,155.1000061
d,UR6,V763-H,453.7000122
d,UR6,V763-A,300.25
d,UR6,FSC-Width,1022.855469
d,UR6,Time,195269
d,US6,FSC-H,586399.625
d,US6,FSC-A,602143.8125
d,US6,SSC-H,242917.75
d,US6,SSC-A,266164.0625
d,US6,B525-H,2211.949951
d,US6,B525-A,2183.649902
d,US6,B610-H,1503.599976
d,US6,B610-A,1436.550049
d,US6,B690-H,350.3999939
d,US6,B690-A,255.5
d,US6,Y585-H,2337.399902
d,US6,Y585-A,2186.350098
d,US6,Y610-H,394.1000061
d,US6,Y610-A,120.9000015
d,US6,Y675-H,340.5499878
d,US6,Y675-A,212
d,US6,Y710-H,318.7000122
d,US6,Y710-A,183.8999939
d,US6,Y763-H,280.5
d,US6,Y763-A,112.9000015
d,US6,R660-H,1625.800049
d,US6,R660-A,1607.099976
d,US6,R712-H,1604.599976
d,US6,R712-A,1597.350098
d,US6,R763-H,446
d,US6,R763-A,77.30000305
d,US6,V450-H,1441.599976
d,US6,V450-A,1198.5
d,US6,V525-H,493.5
d,US6,V525-A,349.2999878
d,US6,V610-H,605
d,US6,V610-A,453.3999939
d,US6,V660-H,268.8999939
d,US6,V660-A,155.1000061
d,US6,V763-H,453.7000122
d,US6,V763-A,300.25
d,US6,FSC-Width,1022.855469
d,US6,Time,195269
