Folder,Sample,Channel,Background_Value
c,UR5,R763-A,6.099999904632568
c,UR5,V450-H,1121.699951171875
c,UR5,V450-A,738.5999755859375
c,UR5,V525-H,431.5
c,UR5,V525-A,232.39999389648438
c,UR5,V610-H,491.5
c,UR5,V610-A,276.70001220703125
c,UR5,V660-H,221.5
c,UR5,V660-A,70.0999984741211
c,UR5,V763-H,318.8999938964844
c,UR5,V763-A,102.5
c,UR5,FSC-Width,1012.9667358398438
c,UR5,Time,9745758.0
c,US1,FSC-H,531297.5
c,US1,FSC-A,545909.625
c,US1,SSC-H,182490.84375
c,US1,SSC-A,202520.75
c,US1,B525-H,1655.9000244140625
c,US1,B525-A,1258.4000244140625
c,US1,B610-H,1150.0
c,US1,B610-A,862.0999755859375
c,US1,B690-H,275.8999938964844
c,US1,B690-A,133.5
c,US1,Y585-H,1691.0
c,US1,Y585-A,999.0999755859375
c,US1,Y610-H,363.1000061035156
c,US1,Y610-A,31.200000762939453
c,US1,Y675-H,251.5
c,US1,Y675-A,34.599998474121094
c,US1,Y710-H,245.10000610351562
c,US1,Y710-A,29.0
c,US1,Y763-H,242.39999389648438
c,US1,Y763-A,20.5
c,US1,R660-H,258.8999938964844
c,US1,R660-A,59.400001525878906
c,US1,R712-H,256.1000061035156
c,US1,R712-A,63.599998474121094
c,US1,R763-H,418.5
c,US1,R763-A,6.099999904632568
c,US1,V450-H,1121.699951171875
c,US1,V450-A,738.5999755859375
c,US1,V525-H,431.5
c,US1,V525-A,232.39999389648438
c,US1,V610-H,491.5
c,US1,V610-A,276.70001220703125
c,US1,V660-H,221.5
c,US1,V660-A,70.0999984741211
c,US1,V763-H,318.8999938964844
c,US1,V763-A,102.5
c,US1,FSC-Width,1012.9667358398438
c,US1,Time,9745758.0
c,US2,FSC-H,531297.5
c,US2,FSC-A,545909.625
c,US2,SSC-H,182490.84375
c,US2,SSC-A,202520.75
c,US2,B525-H,1655.9000244140625
c,US2,B525-A,1258.4000244140625
c,US2,B610-H,1150.0
c,US2,B610-A,862.0999755859375
c,US2,B690-H,275.8999938964844
c,US2,B690-A,133.5
c,US2,Y585-H,1691.0
c,US2,Y585-A,999.0999755859375
c,US2,Y610-H,363.1000061035156
c,US2,Y610-A,31.200000762939453
c,US2,Y675-H,251.5
c,US2,Y675-A,34.599998474121094
c,US2,Y710-H,245.10000610351562
c,US2,Y710-A,29.0
c,US2,Y763-H,242.39999389648438
c,US2,Y763-A,20.5
c,US2,R660-H,258.8999938964844
c,US2,R660-A,59.400001525878906
c,US2,R712-H,256.1000061035156
c,US2,R712-A,63.599998474121094
c,US2,R763-H,418.5
c,US2,R763-A,6.099999904632568
c,US2,V450-H,1121.699951171875
c,US2,V450-A,738.5999755859375
c,US2,V525-H,431.5
c,US2,V525-A,232.39999389648438
c,US2,V610-H,491.5
c,US2,V610-A,276.70001220703125
c,US2,V660-H,221.5
c,US2,V660-A,70.0999984741211
c,US2,V763-H,318.8999938964844
c,US2,V763-A,102.5
c,US2,FSC-Width,1012.9667358398438
c,US2,Time,9745758.0
c,UT1,FSC-H,531297.5
c,UT1,FSC-A,545909.625
c,UT1,SSC-H,182490.84375
c,UT1,SSC-A,202520.75
c,UT1,B525-H,1655.9000244140625
c,UT1,B525-A,1258.4000244140625
c,UT1,B610-H,1150.0
c,UT1,B610-A,862.0999755859375
c,UT1,B690-H,275.8999938964844
c,UT1,B690-A,133.5
c,UT1,Y585-H,1691.0
c,UT1,Y585-A,999.0999755859375
c,UT1,Y610-H,363.1000061035156
c,UT1,Y610-A,31.200000762939453
c,UT1,Y675-H,251.5
c,UT1,Y675-A,34.599998474121094
c,UT1,Y710-H,245.10000610351562
c,UT1,Y710-A,29.0
c,UT1,Y763-H,242.39999389648438
c,UT1,Y763-A,20.5
c,UT1,R660-H,258.8999938964844
c,UT1,R660-A,59.400001525878906
c,UT1,R712-H,256.1000061035156
c,UT1,R712-A,63.599998474121094
c,UT1,R763-H,418.5
c,UT1,R763-A,6.099999904632568
c,UT1,V450-H,1121.699951171875
c,UT1,V450-A,738.5999755859375
c,UT1,V525-H,431.5
c,UT1,V525-A,232.39999389648438
c,UT1,V610-H,491.5
c,UT1,V610-A,276.70001220703125
c,UT1,V660-H,221.5
c,UT1,V660-A,70.0999984741211
